id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,sorted_prices
83fe29c1202e8742152dcba11a396946,12,2,84.85,4,1,3,2001,50.823,19.0906,2.96,3,0.788,2.074,0.488,0.384,0.548,1.712,0.602,1,0,0,0,1,0,0,0,"[549000, 549000, 549000, 549000, 529000, 529000, 529000]"
f56048a5124490174c63cb1a31ad2f24,13,3,85.07,3,2,4,1936,52.1909691,21.0226808,4.71,18,0.049,0.168,0.642,0.164,0.098,1.325,0.403,0,0,1,0,0,1,0,1,"[2150000, 2150000, 2150000, 2250000, 2250000, 2300000, 2300000]"
0ddbf0d624b2423843849460f5ae7db7,13,3,57.13,3,1,4,1900,52.25868783,21.05433225,4.58,19,0.18,0.249,0.502,0.115,0.599,0.232,0.133,0,0,1,0,1,0,0,0,"[1150000, 1150000, 1150000, 1150000, 1150000, 1150000, 1150000]"
f4072ad1abced5285b0ccc5257427971,13,2,51.15,2,1,2,2021,52.1645326,21.11336657,10.57,5,1.687,4.056,0.22,1.076,0.209,3.984,0.243,0,0,1,1,0,1,0,1,"[810000, 810000, 810000, 879780, 879780, 879780, 879780]"
91dffcbc88660b418f34e328555b5fac,13,3,77.58,3,2,4,1938,52.27180025,20.98443706,4.64,32,0.349,0.148,0.361,0.113,0.168,0.848,0.033,0,0,1,0,0,1,0,0,"[1850283, 1850283, 1850283, 1850283, 1850283, 1850283, 1850283]"
9ae1bef4fff5111561751b699a2ab321,13,2,86.5,5,11,11,1984,52.3161797,20.9523323,10.02,10,0.294,0.569,0.171,0.359,0.518,0.265,0.19,1,1,1,0,0,1,0,1,"[1270000, 1270000, 1270000, 1270000, 1270000, 1270000, 1270000]"
3986794b65074c734e01621fe5e3379c,13,2,75.0,4,2,3,1992,52.1486353,21.0308888,9.42,12,0.354,0.355,0.486,0.393,0.111,0.751,0.129,0,0,1,1,1,0,0,1,"[1150000, 1150000, 1150000, 1150000, 1150000, 1150000, 1150000]"
67dbec276fe15d17caaca4699a94c023,13,2,60.0,3,2,4,1985,52.2257015,21.10648318,7.04,10,0.425,0.841,0.326,0.284,0.344,1.663,0.175,0,0,0,0,1,0,0,1,"[790000, 770000, 770000, 770000, 775000, 775000, 760000]"
42333494ca42d8122fdc87975f1a865c,13,3,62.67,2,2,3,1938,52.2111886,21.0473159,3.75,10,0.036,1.038,0.59,0.279,0.052,2.095,0.423,0,0,0,0,1,0,0,1,"[1120000, 1120000, 1120000, 1120000, 1120000, 1089000, 1089000]"
8d1e561b289f09156e18f2dd323cce8c,13,2,67.6,3,2,3,1980,52.2296756,21.0122287,0.63,113,0.243,0.131,0.26,0.274,0.059,0.229,0.142,0,1,1,0,0,0,0,1,"[725000, 725000, 725000, 725000, 725000, 725000, 725000]"
e3995aea00ddd3aabc039448dcb17769,13,1,36.0,2,6,8,1964,52.2348437,21.0114411,0.64,88,0.227,0.465,0.077,0.384,0.068,0.151,0.133,0,1,0,0,0,1,0,0,"[640000, 850000, 850000, 850000, 850000, 850000, 850000]"
efccf03aaf33a10213aaa33f12e1cdf8,13,2,57.2,4,8,10,1970,52.20291809,21.05051875,4.53,12,0.344,0.386,0.499,0.233,0.238,2.453,0.169,1,1,0,0,1,1,0,1,"[740000, 740000, 740000, 740000, 740000, 740000, 740000]"
6c92eefd9ae013eb5be1b6ee404fbdf5,13,1,69.0,2,1,5,2018,52.2538943,21.0441759,3.71,51,0.339,0.199,0.269,0.198,0.119,0.209,0.143,0,0,1,1,1,1,0,0,"[1794000, 1794000, 1794000, 1794000, 1794000, 1794000, 1794000]"
d904b038699ea4237fe21c2bf9789392,13,3,53.0,2,2,2,1947,52.2705174,20.976155,4.7,34,0.413,0.088,0.476,0.05,0.096,0.787,0.017,0,0,0,0,0,1,0,1,"[990000, 990000, 990000, 990000, 990000, 990000, 990000]"
6cc785bf170df5b503c76c09d72c70aa,13,3,86.0,5,5,5,1950,52.2070003,21.0483483,4.11,14,0.324,0.604,0.314,0.249,0.239,2.243,0.064,0,0,1,0,0,1,0,0,"[1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000]"
dd51f0166a150703f4a936b27bb10dc4,13,3,100.0,3,1,4,1938,52.20471373,21.00637436,3.01,21,0.413,0.195,0.359,0.079,0.19,0.456,0.201,0,0,1,0,1,0,0,1,"[2499999, 2499999, 2499999, 2499999, 2499999, 2499999, 2599999]"
1f5242a2565c38379288401fbe7867bb,13,1,62.42,3,1,4,2016,52.16530335,21.08107956,9.08,30,0.501,1.957,0.221,0.193,0.184,2.534,0.165,0,0,1,1,1,1,0,0,"[1310820, 1310820, 1310820, 1310820, 1310820, 1310820, 1310820]"
fd2077a068dad02e64cc9a8d96e3b945,13,1,36.0,2,3,8,2015,52.2306557,20.975674,1.9,32,0.225,0.458,0.724,0.112,0.036,1.785,0.167,0,0,1,1,0,1,0,0,"[849000, 849000, 849000, 849000, 849000, 849000, 849000]"
5090480fe81b4dcc9b279ca844079d25,13,1,92.0,3,3,3,2006,52.2158023,21.0434787,3.24,7,0.124,1.544,1.158,0.281,0.444,1.656,0.978,0,0,1,1,0,0,0,0,"[1600000, 1600000, 1600000, 1600000, 1600000, 1600000, 1600000]"
269e4327155da3263987ee95f6f1dd24,13,3,64.0,2,4,4,1933,52.21667877,20.97779274,2.42,23,0.052,0.526,0.22,0.127,0.115,0.71,0.194,0,0,1,0,1,0,0,1,"[990000, 990000, 990000, 990000, 990000, 990000, 990000]"
7a7cc7600c448bdfc97795693570aca1,13,1,80.0,3,29,29,2005,52.2319163,20.9877474,1.08,66,0.021,0.137,0.2,0.141,0.153,1.197,0.086,0,0,1,0,0,1,0,0,"[2200000, 2200000, 2200000, 2200000, 2200000, 2200000, 2200000]"
7c46fc75e47ab72c700687534a4b90c1,13,1,90.86,3,6,6,2019,52.1836721,21.0456837,6.06,7,0.218,0.215,0.395,0.493,0.103,3.038,0.416,0,0,1,1,1,1,0,0,"[1880000, 1880000, 1880000, 1880000, 1880000, 1880000, 1880000]"
30f529b1df4171bce6943585b8224592,13,2,64.0,3,9,11,1985,52.15214895,21.03427126,9.09,23,0.137,0.405,0.213,0.105,0.192,0.867,0.273,0,1,1,0,1,1,0,1,"[850000, 850000, 895000, 895000, 895000, 895000, 895000]"
8e7a7c56f60b6d6f4d16ae78fe28817a,13,2,72.0,3,8,10,2014,52.2219685708077,21.0927438824827,6.17,12,0.508,0.58,0.464,0.362,0.095,1.858,0.221,0,0,1,1,1,1,1,0,"[1150000, 1150000, 1150000, 1150000, 1150000, 1150000, 1150000]"
2376478582b4c6029117c18cae0a6584,13,3,81.54,3,1,3,1937,52.2464098,21.0626602,4.34,23,0.158,0.077,0.065,0.122,0.214,0.467,0.147,0,0,0,0,0,0,0,1,"[1280000, 1280000, 1280000, 1280000, 1280000, 1280000, 1280000]"
